association_id;atc_id_id;drug_id_id
23010;P01BF04;DB00205
23011;C02LA51;DB00206
23012;C02AA02;DB00206
23013;C02LA01;DB00206
23014;C02LA71;DB00206
23015;C02AA52;DB00206
23016;J01RA07;DB00207
23017;S01AA26;DB00207
23018;J01FA10;DB00207
23019;B01AC05;DB00208
23020;A03DA06;DB00209
23021;G04BD09;DB00209
23022;D10AD03;DB00210
23023;D10AD53;DB00210
23024;C01CA17;DB00211
23025;C09XA01;DB00212
23026;A02BD04;DB00213
23027;A02BD11;DB00213
23028;A02BC02;DB00213
23029;C03CA04;DB00214
23030;G01AE10;DB00214
23031;N06AB04;DB00215
23032;N02CC06;DB00216
23033;C02CC01;DB00217
23034;S01AE07;DB00218
23035;J01MA14;DB00218
23036;A03AB53;DB00219
23037;A03AB03;DB00219
23038;J05AE04;DB00220
23039;A10BD04;DB00222
23040;A10BB12;DB00222
23041;A10BD06;DB00222
23042;D07AC10;DB00223
23043;J05AE02;DB00224
23044;C10AA02;DB00227
23045;C10BA01;DB00227
23046;N01AB04;DB00228
23047;J01DC07;DB00229
23048;N03AX16;DB00230
23049;N05CD07;DB00231
23050;C03AA08;DB00232
23051;C03AB08;DB00232
23052;J04AA02;DB00233
23053;J04AA03;DB00233
23054;J04AA01;DB00233
23055;N06AX18;DB00234
23056;C01CE02;DB00235
23057;N05CB01;DB00237
23058;J05AG01;DB00238
23059;J05AR05;DB00238
23060;J05AR07;DB00238
23061;D01AC11;DB00239
23062;G01AF17;DB00239
23063;G01AF20;DB00239
23064;D07AB10;DB00240
23065;S01BA10;DB00240
23066;N05CB01;DB00241
23067;L04AA40;DB00242
23068;L01BB04;DB00242
23069;C01EB18;DB00243
23070;A07EC02;DB00244
23071;N04AC01;DB00245
23072;N05AE04;DB00246
23073;N02CA04;DB00247
23074;N04BC06;DB00248
23075;G02CB03;DB00248
23076;D10AX05;DB00250
23077;J04BA02;DB00250
23078;N03AB02;DB00252
23079;N03AB52;DB00252
23080;S01BA08;DB00253
23081;J01AA02;DB00254
23082;A01AB22;DB00254
23083;J01AA20;DB00254
23084;L02AA04;DB00255
23085;L02AA01;DB00255
23086;G03CC05;DB00255
23087;G03CB02;DB00255
23088;D01AC01;DB00257
23089;A01AB18;DB00257
