interaction_id;actions;known_action;interaction_type;pubmed_ids;drug_bankID_id;uniprot_ID_id
1;inhibitor;yes;target;10505536|10912644|11055889|11467439|11807012|11752352;DB00001;P00734
2;binder;yes;target;11752352|15821783;DB00002;P00533
3;binder;unknown;target;16336752;DB00002;O75015
4;binder;unknown;target;32117299;DB00002;P02745
5;binder;unknown;target;32117299;DB00002;P02746
6;binder;unknown;target;32117299;DB00002;P02747
7;binder;unknown;target;17139284|17016423|17704420;DB00002;P08637
8;binder;unknown;target;7547242;DB00002;P12314
9;binder;unknown;target;17139284|17016423|17704420;DB00002;P12318
10;binder;yes;target;2786749|3124610|18684057|17187516;DB00004;P01589
11;agonist;yes;target;15811959|16516670|18684057|17187516|11752352;DB00004;P14784
12;nan;unknown;target;15811959|16516670|11707860;DB00004;P31785
13;antibody;yes;target;10206649|10338381|10357816|10375846|10405518|11752352;DB00005;P01375
14;ligand;unknown;target;27463856|19128982;DB00005;P12314
15;ligand;unknown;target;15457442|15526004|27463856|19128982;DB00005;P12318
16;ligand;unknown;target;27463856|19128982;DB00005;P31994
17;ligand;unknown;target;10800083|7535196|19128982;DB00005;P31995
18;ligand;unknown;target;15457442|15526004|27463856|19128982;DB00005;P08637
19;ligand;unknown;target;10800083|17387033|15457442|15526004|19128982;DB00005;O75015
20;antibody;yes;target;11302411|15005015|15033655;DB00005;P01374
21;inhibitor;yes;target;11060732|11504570|11833835|11923794|11929334|11752352;DB00006;P00734
22;inhibitor;unknown;enzyme;18701766;DB00006;P05164
23;agonist;yes;target;16809153|10687850|9625809|15758569|10394541;DB00007;P30968
24;agonist;yes;target;15898717|16953837|19955815|11752352;DB00008;P48551
25;agonist;yes;target;15898717|16953837|19955815|11752352;DB00008;P17181
26;inhibitor;unknown;enzyme;11910269;DB00008;P05177
27;activator;yes;target;18673235|19436656|17963464|11752352;DB00009;P00747
28;nan;yes;target;18673235|19436656|17963464;DB00009;P02671
29;nan;unknown;target;nan;DB00009;Q03405
30;nan;unknown;target;17963464;DB00009;P05121
31;agonist;yes;target;14499707|11752352;DB00010;Q02643
32;agonist;yes;target;17139284|17016423|10822464|19955815|11752352;DB00011;P17181
33;agonist;yes;target;17139284|17016423|10822464|19955815|11752352;DB00011;P48551
34;inhibitor;unknown;enzyme;9064483;DB00011;P05177
35;agonist;yes;target;16505108|17575216|11752352;DB00012;P19235
36;activator;yes;target;12658774|12666133|12719778|12720300|12745435|11752352;DB00013;P00747
37;inducer|modulator;yes;target;12615913|12817472|14679304|14688365|14720519|17327908;DB00013;Q03405
38;substrate|inducer;yes;target;12579271|12642587|12709915|12745435|12785198;DB00013;P05121
39;substrate|inducer;yes;target;15277569|15351849|15640330|15944795|16327990;DB00013;P05120
40;substrate;unknown;target;17434507|17253188|14645112;DB00013;P05154
41;substrate;unknown;target;17139284|17016423|8241286|1280065|7959795;DB00013;P98164
42;substrate;unknown;target;14747469|12815039;DB00013;Q9Y5Y6
43;ligand;unknown;target;17139284|17016423|1499567;DB00013;P14543
44;substrate;unknown;enzyme;12195704;DB00013;P39900
45;agonist;yes;target;17139284|17016423|20053189;DB00014;P22888
46;agonist;yes;target;20053189;DB00014;P30968
47;activator;yes;target;17963464|18673235|19436656|11752352;DB00015;P00747
48;nan;yes;target;18673235|19436656|17963464;DB00015;P02671
49;nan;unknown;target;17963464;DB00015;P05121
50;agonist;yes;target;16505108|17575216|11752352;DB00016;P19235
51;agonist;unknown;target;3004987|7610922|9231703|11752352;DB00017;P30988
52;agonist;yes;target;17139284|17016423|15898717|19955815|11752352;DB00018;P17181
53;agonist;yes;target;17139284|17016423|15898717|19955815|16953837|11752352;DB00018;P48551
54;inhibitor;unknown;enzyme;9064483;DB00018;P05177
55;agonist;yes;target;17001306|12944913|17127322|16033816|15949269|15082029;DB00019;Q99062
56;substrate;no;enzyme;14657210|16245075|12958067|15353486|17475913|26105553;DB00019;P08246
57;agonist;yes;target;17090651|16760463|17522711|16638185|11752352;DB00020;P15509
58;agonist;yes;target;17562355|17500228|16698686|17522711;DB00020;P26951
59;agonist;yes;target;17139284|17016423|1424804;DB00020;P32927
60;agonist;unknown;target;17139284|17016423|10734053;DB00020;P34741
61;nan;unknown;target;17383764|16522458|17600316;DB00020;P13727
62;agonist;yes;target;17139284|17016423|15898717|19955815|16953837|11752352;DB00022;P17181
63;agonist;yes;target;17139284|17016423|15898717|19955815|16953837|11752352;DB00022;P48551
64;inhibitor;unknown;enzyme;21161196;DB00022;P05177
65;inhibitor;unknown;enzyme;nan;DB00022;P10635
66;inducer;unknown;enzyme;22765278;DB00022;P11712
67;inhibitor;no;carrier;nan;DB00023;P05543
68;agonist;yes;target;15571461|9039330|11752352;DB00024;P16473
69;activator;yes;target;13801371|14285227|236567|6436416|11891806;DB00025;P00742
70;cofactor;yes;target;1119107|2994716|14240634|932529|6422634;DB00025;P00740
71;binder;yes;target;10938981|11858481|14750934|2128855|2942172;DB00025;P04275
72;antagonist;unknown;target;11574539;DB00025;O14832
73;binder;unknown;target;15946216;DB00025;P07307
74;chaperone;unknown;target;9607108;DB00025;P11021
75;chaperone;unknown;target;9525969|17899080|9607108;DB00025;P27797
76;chaperone;unknown;target;9525969|15213841|17899080|9607108;DB00025;P27824
77;chaperone;unknown;target;14629470|14726380;DB00025;P49257
78;modulator;unknown;target;21391865;DB00025;Q07954
79;modulator;unknown;target;15886209;DB00025;Q8NI22
80;activator;unknown;enzyme;10688826|1139038|12463731|2402772|3099625;DB00025;P00734
81;substrate;unknown;enzyme;21054189;DB00025;P04070
82;antagonist;yes;target;17498496|12817089|12355453|17083033|11752352|17352828|10210771;DB00026;P14778
83;substrate|inhibitor;unknown;transporter;14985103|8621716|11707575;DB00027;P08183
84;antagonist;yes;target;17911465|20441428|17351760;DB00028;P12314
85;antagonist;yes;target;17911465|20441428|17351760;DB00028;Q92637
86;antagonist;yes;target;17911465|20441428|17351760;DB00028;P12318
87;antagonist;yes;target;17911465|20441428|17351760;DB00028;P31994
88;antagonist;yes;target;17911465|20441428|17351760;DB00028;P31995
89;antagonist;yes;target;17911465|20441428|17351760;DB00028;P08637
90;antagonist;yes;target;17911465|20441428|17351760;DB00028;O75015
91;binder;yes;target;20441428|17351760|17911465;DB00028;P01024
92;binder;yes;target;20441428|17351760|17911465;DB00028;P0C0L4
93;binder;yes;target;20441428|17351760|17911465;DB00028;P01031
94;activator;yes;target;18673235|19436656|17963464|11752352;DB00029;P00747
95;nan;yes;target;6750837|7798503;DB00029;P02671
96;nan;unknown;target;17963464;DB00029;P05121
97;agonist;yes;target;12970169|12038982|17722952|19683471|20230616|11752352|27512793;DB00030;P06213
98;activator;unknown;target;19145584|21219237|22420005|31771180|25905175;DB00030;P08069
99;modulator|product of;unknown;target;24843127;DB00030;P16870
100;downregulator;unknown;target;23705021;DB00030;P48745
101;substrate;unknown;target;9773776;DB00030;P98164
102;inhibitor|binder;unknown;target;17475416;DB00030;Q16270
103;substrate|cleavage;unknown;enzyme;19785409|25945652|30968756;DB00030;P14735
104;activator;unknown;enzyme;nan;DB00030;P16519
105;activator;unknown;enzyme;nan;DB00030;P29120
106;inducer;unknown;enzyme;1562279|12130701;DB00030;P05177
107;activator;yes;target;18673235|19436656|17963464|11752352;DB00031;P00747
108;nan;yes;target;19436656|18673235|17963464;DB00031;P02671
109;nan;unknown;target;15231724|11447759|12210068;DB00031;Q03405
110;nan;unknown;target;11163592|14564902|17963464;DB00031;P05121
111;nan;unknown;target;17141398|7958159|3091604;DB00031;P05120
112;nan;unknown;target;12694198|9034981|17853709;DB00031;P05452
113;nan;unknown;target;9988531|8760360|8810346;DB00031;P05787
114;nan;unknown;target;15194650|10578524|12730231;DB00031;P07355
115;nan;unknown;target;9359841;DB00031;P27797
116;nan;unknown;target;9359841;DB00031;P27824
117;nan;unknown;target;8344937|1378833|16303771;DB00031;Q07954
118;binder;yes;target;17139284|17016423|14680547|7872378|11752352;DB00032;P23945
119;nan;yes;target;17139284|17016423|14680547|7872378;DB00032;P22888
120;binder;yes;target;17251453|17618444|11752352;DB00033;P15260
121;binder;yes;target;17239631|17618444|11752352;DB00033;P38484
122;inhibitor;unknown;enzyme;9064483|9103535;DB00033;P05177
123;nan;yes;target;15898717|18230610;DB00034;P17181
124;nan;yes;target;15898717|18230610;DB00034;P48551
125;inhibitor;unknown;enzyme;9064483;DB00034;P05177
126;agonist;yes;target;18761325|16333859|11752352;DB00035;P30518
127;nan;yes;target;10731046|10594321|8957254|15613460;DB00035;P37288
128;nan;yes;target;15613460|14971638|18655906;DB00035;P47901
129;inducer;unknown;enzyme;15644490;DB00035;P23219
130;inducer;unknown;enzyme;15644490;DB00035;P35354
131;nan;unknown;target;5969560|13801371|13713641|14227143|13621053;DB00036;P00742
132;nan;unknown;target;11772005|7559599|8700900|12974870|11238112;DB00036;P10646
133;nan;unknown;target;17139284|17016423|10901669;DB00036;P38435
134;nan;unknown;target;10388743|11735107|12525826|15907148|16370916;DB00036;P08709
135;nan;unknown;target;13713641|1586032|6658368;DB00036;P13726
136;agonist;yes;target;11012177|11570967|8637716|8676079|9310465|11752352;DB00038;Q14626
137;agonist|binder;yes;target;17728847|16390600|16854582|7499435|9056643|10593896|17456767|11752352|8663044;DB00039;P21802
138;agonist;unknown;target;11714710|10950949|11091737|10212269|9890894|8663044;DB00039;P11362
139;ligand;unknown;target;10593896|9788974|16989989|14753849|9094999;DB00039;P98160
140;agonist;yes;target;17462598|17620721|17623014|17534934|17479245|11752352|8020989|12529935|8144028;DB00040;P47871
141;agonist;unknown;target;17139284|17016423|11212269|9990065|15817468|12529935;DB00040;O95838
142;agonist;unknown;target;17475961|17498508|17534934|12529935;DB00040;P43220
143;agonist|modulator;yes;target;16477002|16542139|16569767|16596189|16617454|11752352;DB00041;P14784
144;agonist|modulator;yes;target;17216565|16767920|17530023|17584597|16864089|11752352|10207608;DB00041;P01589
145;agonist;yes;target;16477002|17598841|17635814|17083048|17363735;DB00041;P31785
146;inducer;unknown;enzyme;10823885|18209082;DB00041;P35354
147;inducer;unknown;enzyme;8536274;DB00041;P47712
148;inhibitor;unknown;enzyme;10086330|14977871;DB00041;P08684
149;inducer;unknown;enzyme;8032542;DB00041;P47989
150;inhibitor;unknown;enzyme;10086330;DB00041;P05181
151;binder;yes;target;14573702|11752352;DB00042;P63027
152;binder;yes;target;17139284|17016423|11752352;DB00042;P23763
153;nan;yes;target;17139284|17016423|19576489;DB00042;Q8N9I0
154;inhibitor;yes;target;15356552|17368811|26288408;DB00043;P12319
155;inhibitor;yes;target;17139284|17016423|17073688|11678779;DB00043;Q01362
156;agonist;yes;target;17139284|17016423|20161981|11752352;DB00044;P22888
157;other/unknown;yes;target;14617145;DB00045;O60603
158;agonist;yes;target;11752352|8964871|8937933|20424816|27512793;DB00046;P06213
159;activator;unknown;target;22420005|31771180|25905175;DB00046;P08069
160;inducer;unknown;enzyme;1562279|12130701;DB00046;P05177
161;substrate;unknown;enzyme;12773120;DB00046;P14735
162;agonist;yes;target;11752352|17922476|20424816|18585815;DB00047;P06213
163;activator;unknown;target;22420005|20938889|17922476;DB00047;P08069
164;inducer;unknown;enzyme;1562279|12130701;DB00047;P05177
165;binder;yes;target;17440987|12855673|12535212|12101112|15659034;DB00048;P02452
166;binder;yes;target;14613270|17652426|16507130|15299286|12890681;DB00048;P02458
167;binder;yes;target;17139284|17016423|2145268;DB00048;P02461
168;antagonist;yes;target;11854630|12606421|14561652|14605254|16809153|11752352;DB00050;P30968
169;nan;unknown;target;17139284|17016423|11943741;DB00050;P22888
170;antibody;yes;target;12044041|14532145|15022409|15046527;DB00051;P01375
171;ligand;yes;target;16917171|16965663|17082603|17128263|17133434|11752352|22291494;DB00052;P10912
172;ligand;yes;target;17279774|17395896|17317019|2270485;DB00052;P16471
173;inducer;unknown;enzyme;11907490;DB00052;P05177
174;inhibitor;unknown;enzyme;11907490;DB00052;P33261
175;substrate;unknown;transporter;10518648;DB00052;P08183
176;antagonist;yes;target;11588534|12165285|17441904|11752352|18510478|12749745;DB00054;P05106
177;antagonist;yes;target;19499855|18510478|12749745;DB00054;P08514
178;nan;unknown;target;nan;DB00054;P12318
179;nan;unknown;target;nan;DB00054;P31994
180;nan;unknown;target;17160551|12749745;DB00054;P04004
181;inhibitor;yes;target;9184404|18954704|11752352|6419799;DB00055;P00451
182;inhibitor;yes;target;11236773|11714212|11893230|12004250|12030642|11752352|6419799;DB00055;P12259
183;nan;unknown;target;11259926|17566522|12004248|14515185;DB00055;P05121
184;nan;unknown;target;11804648|15252033|1660324|2836377|3039877;DB00055;P07204
185;nan;unknown;target;12062545|1828915|3160800;DB00055;P07225
186;nan;unknown;target;10463819|12062545|12070133|12208873|12296618;DB00055;P00734
187;nan;unknown;target;11259926;DB00055;P02776
188;nan;unknown;target;10456457|7769227|9620917|8391599|12671072;DB00055;P05154
189;nan;unknown;target;7548163;DB00055;P35237
190;nan;unknown;target;9529319|12871285|12353077|17566522|15118520;DB00055;Q9UNN8
191;antibody;yes;target;10942240|11249747|11342449|11410481|11432892|20564405|11752352;DB00056;P20138
192;nan;unknown;target;9815888|9649182|7509291;DB00056;O75015
193;nan;unknown;target;17139284|17016423|7509291;DB00056;P08637
194;nan;unknown;target;7509291;DB00056;P12314
195;inhibitor;yes;target;20521180|16773239|11752352;DB00058;P08246
196;inhibitor;no;carrier;nan;DB00059;P05543
197;agonist;yes;target;10049744|16912135|12034032|11747625;DB00060;P17181
198;nan;yes;target;16912135|11747625;DB00060;P48551
199;inhibitor;unknown;enzyme;9064483;DB00060;P05177
200;binder;unknown;target;9299436;DB00061;P62993
201;nan;yes;target;11588534|14618072|15860200|12360110|14617694|12928738|10592235;DB00063;P05106
202;inhibitor;yes;target;11752352|17642244|16052578|16456024|15674127|16622728|12110154|15481318|15691217|15691299|15804598;DB00065;P01375
203;agonist;yes;target;11299519|7755615|2108722|8319832|8070368|18020563|11752352;DB00066;P23945
204;agonist;yes;target;17020465|16333859|16563128|17287200|11752352|29480411;DB00067;P30518
205;agonist;yes;target;17275806|16532916|16511036|16011575|17303660|29480411;DB00067;P37288
206;agonist;yes;target;17027167|16720725|17284170|16114100|15993108|29480411;DB00067;P47901
207;agonist;yes;target;24621650;DB00067;P30559
208;substrate;unknown;transporter;10692506;DB00067;Q92887
209;agonist;yes;target;10049744|11752352;DB00068;P17181
210;agonist;yes;target;10049744|11752352;DB00068;P48551
211;inhibitor;unknown;enzyme;9064483;DB00068;P05177
212;binder;yes;target;17139284|17016423|12528473|11752352;DB00069;P17181
213;binder;yes;target;8836913|12528473|11752352;DB00069;P48551
214;inhibitor;unknown;enzyme;9064483;DB00069;P05177
215;inhibitor;unknown;target;11327694|7648625|9435505|9850732;DB00070;P01137
216;inhibitor;unknown;carrier;10036158|10466114;DB00070;P02768
217;binder;yes;target;12038982|12970169|11752352;DB00071;P06213
218;nan;unknown;target;17139284|17016423|9846170|9582514|7476290;DB00071;P08069
219;inducer;unknown;enzyme;1562279|12130701;DB00071;P05177
220;substrate;unknown;enzyme;3536368|8504733|9643444|13560210;DB00071;P14735
221;binder|antibody;yes;target;11752352|18690878|17660958|11098307;DB00072;P04626
222;antibody;yes;target;11752352|20350667|20350663|9704735|26883591|26920337;DB00073;P11836
223;antibody;yes;target;12591363|9695721|16908318|10512062|10567956|11752352;DB00074;P01589
224;antibody;unknown;target;10188761|10708100|11840795|12667677|12826150|11752352;DB00074;P14784
225;nan;yes;target;2503348|8861551;DB00075;P04234
226;binder;yes;target;17139284|17016423|11752352;DB00075;P07766
227;nan;yes;target;2503348|8861551;DB00075;P09693
228;nan;yes;target;2503348|8861551;DB00075;P20963
229;nan;unknown;target;10851527|10851498;DB00075;O75015
230;antibody;yes;target;10541376|11418316|11879282|12011122|15045033|11752352|20113680;DB00078;P11836
231;binder;no;carrier;1667253|28142234|32565355;DB00080;P02768
232;binder;no;carrier;1667253|28142234|32565355;DB00080;P02763
233;binder;no;carrier;28142234;DB00080;P01009
234;binder;no;carrier;28142234;DB00080;P01130
235;binder;no;carrier;28142234;DB00080;P04278
236;binder;no;carrier;28142234;DB00080;P02790
237;substrate;no;transporter;17548493|25239468;DB00080;P08183
238;antibody;yes;target;11418316|11879282|12899647|14748653|15023434|11752352|13129395;DB00081;P11836
239;nan;unknown;target;17768100|25568316;DB00081;P31994
240;antagonist;yes;target;19820031|17322491|11752352|20595800;DB00082;P10912
241;inducer;unknown;enzyme;12597773;DB00082;Q02318
242;inhibitor;unknown;enzyme;1970314;DB00082;P15104
243;inducer;unknown;enzyme;9661620|16291874;DB00082;P08684
244;inhibitor;unknown;enzyme;3948777;DB00082;P06276
245;inhibitor;unknown;enzyme;19366684;DB00082;Q02928
246;inhibitor;yes;target;14644446|15222581|16831062|9886085;DB00083;P60880
247;inhibitor;unknown;target;15140914;DB00083;P62745
248;binder;unknown;carrier;16782822;DB00083;P02768
249;activator;yes;target;10569766|10581996|10631997|10664583|10726310|11752352;DB00086;P00747
250;activator;unknown;target;10666203|10079109;DB00086;P25116
251;inducer;unknown;enzyme;2265209;DB00086;P47712
252;antibody;yes;target;10092828|10366506|10520035|10573085|10744652|11752352|19479612|19343298;DB00087;P31358
253;nan;unknown;target;9337053|8707338|9020367;DB00087;O75015
254;nan;unknown;target;15217834;DB00087;P08637
255;nan;unknown;target;23543215;DB00087;P12314
256;nan;unknown;target;15217834;DB00087;P12318
257;nan;unknown;target;23543215;DB00087;P31994
258;nan;unknown;target;23543215;DB00087;P31995
259;other/unknown;yes;target;11016653|15882479|9508077|9792131|11752352;DB00089;Q04609
260;binder;yes;target;20927389|20674565|20602248|20637127|24682697|1502562;DB00091;P49069
261;inhibitor;yes;target;20674565|23468591|7529175;DB00091;Q96LZ3
262;inhibitor|binder;yes;target;17461417|17609268|20637127|20368803;DB00091;P62937
263;binder;yes;target;2970139|2026447|1896075;DB00091;P30405
264;substrate;unknown;enzyme;20368718|23354298|23922006;DB00091;P20815
265;substrate|inhibitor;unknown;enzyme;10490933|25860376|22205779|2277139|23922006;DB00091;P08684
266;inhibitor;unknown;enzyme;17202802;DB00091;P33261
267;inhibitor;unknown;enzyme;17202802;DB00091;P10635
268;substrate|inhibitor;unknown;transporter;8842452|9333100|10227700|23922006;DB00091;P08183
269;substrate|inhibitor;unknown;transporter;12404239|10648470|27000539;DB00091;O95342
270;inhibitor;unknown;transporter;9458785|18668439;DB00091;Q12908
271;inhibitor;unknown;transporter;9486191|18668439;DB00091;Q14973
272;substrate|inhibitor;unknown;transporter;9374486|27290622|29051147|25860376;DB00091;Q4U2R8
273;substrate|inhibitor;unknown;transporter;12527806;DB00091;Q5T3U5
274;inhibitor;unknown;transporter;15816878|12967592;DB00091;Q92887
275;inhibitor;unknown;transporter;11437380|25860376;DB00091;Q9UNQ0
276;substrate|inhibitor;unknown;transporter;12538813|14530907|23179780;DB00091;Q9Y6L6
277;inhibitor;no;transporter;25860376|22240838|23179780;DB00091;Q9NPD5
278;inhibitor;yes;target;17555598|11970990|17403057|14968366|12795770|11752352;DB00092;P06729
279;nan;unknown;target;17139284|17016423|11970990|12795239;DB00092;P08637
280;nan;unknown;target;11970990;DB00092;O75015
281;agonist;yes;target;17139284|17016423|18655903|11752352;DB00093;P37288
282;agonist;yes;target;11299519|7755615|2108722|8319832|8070368|11752352;DB00094;P23945
283;antibody;yes;target;19170413|17053736|11752352|15799683;DB00095;P20701
284;antibody;yes;target;25070825;DB00095;P20702
285;nan;yes;target;15967102|12606382|17059863;DB00097;P22888
286;binder;yes;target;9027352|17059863|20374735|11752352;DB00097;P23945
287;inhibitor;unknown;target;17139284|17016423|11752352;DB00098;P06126
288;antagonist;yes;target;12586600;DB00098;Q95460
289;nan;yes;target;12586600;DB00098;P20701
290;binder;yes;target;12586600;DB00098;P42081
291;nan;yes;target;12586600;DB00098;P31994
292;nan;yes;target;12586600;DB00098;P01730
293;nan;yes;target;12586600;DB00098;P05556
294;nan;yes;target;12586600;DB00098;P06756
295;nan;yes;target;12586600;DB00098;P05106
296;stimulator;yes;target;17001306|17494858|15949269|17127322|16033816;DB00099;Q99062
297;other/unknown;unknown;target;14657210|16245075|17311988|17475913|15353486|12393522;DB00099;P08246
298;activator;yes;target;1391956|8083242|9079657|10933803|10919405|11752352|659613;DB00100;P00742
299;ligand;yes;target;10593931|11342438|659613;DB00100;P03951
300;ligand;yes;target;10192655|10381508|10498586|10617609|10938981|659613;DB00100;P08709
301;cofactor;yes;target;11150722|12719776|12826528|14598591|16476097|659613;DB00100;P00451
302;nan;unknown;target;10498586|10499904|10499905|10648407|11019961;DB00100;P00734
303;nan;unknown;target;17139284|17016423|12522212;DB00100;Q07954
304;nan;unknown;target;14660587|9115224|8506307|9748333|9141486;DB00100;P38435
305;nan;yes;target;18686746;DB00102;P09619
306;nan;unknown;target;10070317|7665222|12632922|1702511|14506245;DB00102;P16234
307;nan;unknown;target;1697862|7541796;DB00102;P01023
308;substrate;unknown;transporter;22768187;DB00103;P20645
309;binder;unknown;carrier;nan;DB00104;P02768
310;inhibitor;unknown;enzyme;10929949|11020872;DB00104;P05164
311;inhibitor;no;enzyme;26052213|9661620;DB00104;P08684
312;substrate;unknown;transporter;10694230|9743261|14633964;DB00104;P08183
313;substrate|inhibitor;unknown;transporter;10694230|26330539|14633964;DB00104;Q92887
314;binder;yes;target;17139284|17016423|7584665|11752352;DB00105;P48551
315;binder;yes;target;17139284|17016423|10567921|11752352;DB00105;P17181
316;inhibitor;unknown;enzyme;12171873|16507380;DB00105;P05177
317;antagonist;yes;target;16985933;DB00106;P30968
318;agonist;yes;target;20108008|20104850|18655883|15646817|21208749|30253045;DB00107;P30559
319;binder;unknown;carrier;17016423|6687626|1486803;DB00107;P01178
320;substrate;unknown;enzyme;11495689|3544718|6361010|28261087;DB00107;P48147
321;substrate;unknown;enzyme;30253045|11108258;DB00107;Q9UIQ6
322;binder;unknown;transporter;32054984;DB00107;Q15109
323;antibody;yes;target;16268663|16634035|17461891|9389694|11752352;DB00108;P13612
324;nan;unknown;target;29951887;DB00108;O75015
325;nan;unknown;target;11752352;DB00108;P05362
326;nan;unknown;target;31002172;DB00108;P12314
327;substrate;unknown;enzyme;15656696;DB00109;P33261
328;substrate;unknown;enzyme;15656696;DB00109;P05181
329;nan;unknown;target;24711420;DB00110;O75015
330;nan;unknown;target;24711420;DB00110;P00736
331;nan;unknown;target;24711420;DB00110;P02745
332;nan;unknown;target;24711420;DB00110;P02746
333;nan;unknown;target;24711420;DB00110;P02747
334;nan;unknown;target;24711420;DB00110;P08637
335;nan;unknown;target;24711420;DB00110;P12314
336;nan;unknown;target;24711420;DB00110;P31994
337;antibody;yes;target;16304857|10607689|16908318|8600944|17564638|19788505|11752352;DB00111;P01589
338;antibody;yes;target;12372041|15022409|15814281|2571203|2647626|11752352;DB00111;P14784
339;nan;unknown;target;1835892|2335478|8097750|2415663|1900882;DB00111;O75015
340;nan;unknown;target;17139284|17016423;DB00111;P00736
341;nan;unknown;target;17139284|17016423;DB00111;P02745
342;nan;unknown;target;17139284|17016423;DB00111;P02746
343;nan;unknown;target;17139284|17016423;DB00111;P02747
344;nan;unknown;target;17139284|17016423;DB00111;P08637
345;nan;unknown;target;1828823;DB00111;P12314
346;nan;unknown;target;17139284|17016423;DB00111;P12318
347;nan;unknown;target;17139284|17016423;DB00111;P31994
348;nan;unknown;target;17139284|17016423;DB00111;P31995
349;nan;yes;target;11752352|15705858|27329360;DB00112;P15692
350;nan;unknown;target;15886877;DB00112;P02745
351;nan;unknown;target;15886877;DB00112;P02746
352;nan;unknown;target;15886877;DB00112;P02747
353;nan;unknown;target;15886877;DB00112;P08637
354;nan;unknown;target;15886877;DB00112;P12314
355;nan;unknown;target;15886877;DB00112;P12318
356;nan;unknown;target;15886877;DB00112;P31994
357;nan;unknown;target;15886877;DB00112;P31995
358;other/unknown;unknown;target;12865871|9389396;DB00113;P13688
359;cofactor;unknown;target;7592550|6703688;DB00114;Q9BYV1
360;cofactor;unknown;target;15381280|11488610|15686475|12535612|12067524;DB00114;Q99259
361;cofactor;unknown;target;11948191|12173932|12644499|15196993|15365998;DB00114;P35520
362;cofactor;unknown;target;14756555|12204580|17300176|11985583;DB00114;Q16719
363;cofactor;unknown;target;7526359|9305893|3143355|10592235;DB00114;P34896
364;cofactor;unknown;target;12119030|17469805|16310786|12860127|12196163;DB00114;Q9Y697
365;activator;unknown;target;11340119|11888303|12167474|16925884|11752352;DB00114;P17174
366;cofactor;unknown;target;10592235;DB00114;P04181
367;cofactor;unknown;target;12672797|12627959|15476392|12460114|11683631;DB00114;P11926
368;cofactor;unknown;target;12126930|15016471;DB00114;Q8N5Z0
369;inhibitor;unknown;target;14534310|17531224|14567543|16096275|15723541|11752352;DB00114;P80404
370;cofactor;unknown;target;16538088|16207494|17032564|17216302|15772097;DB00114;Q9NVS9
371;cofactor;unknown;target;15522238|11377878;DB00114;O95470
372;cofactor;unknown;target;16570355|16902803|16466641|12441383|12798391;DB00114;P17735
373;cofactor;unknown;target;12167474|12850267|16846239|12798391|16463021;DB00114;Q16773
374;cofactor;unknown;target;12782147|11726713|11781309|11279212|11171191;DB00114;O15270
375;cofactor;unknown;target;15070923;DB00114;Q9Y600
376;cofactor;unknown;target;12679420|16547811|16790022|15070923|11980912;DB00114;P19113
377;cofactor;unknown;target;11980912|15583399|16997906|11168717|17305368;DB00114;Q96A70
378;cofactor;unknown;target;15689518|14596599|14646100|16580895|15155761;DB00114;P20132
379;cofactor;unknown;target;11318637;DB00114;O75600
380;cofactor;unknown;target;15791207|16228305;DB00114;P23378
381;cofactor;unknown;target;14688239|12537583|16179747|15347780|11330835;DB00114;P24298
382;cofactor;unknown;target;8695645|10024454|16532449|10592235;DB00114;Q9Y617
383;cofactor;unknown;target;7275938|10577279|12686158;DB00114;P13196
384;cofactor;unknown;target;16971151;DB00114;P21549
385;cofactor;unknown;target;14522954|11000053|17531224|16336786|16336194;DB00114;Q96GD0
386;cofactor;unknown;target;12782147|11781309|11279212;DB00114;O15269
387;cofactor;unknown;target;15184188|15823094|17377202|16857832|11578145;DB00114;P32929
388;cofactor;unknown;target;12269802;DB00114;P54687
389;cofactor;unknown;target;12269802;DB00114;O15382
390;binder;unknown;target;31825581;DB00114;O94903
391;cofactor;unknown;target;236311;DB00114;P00505
392;cofactor;unknown;target;7916624|8254668;DB00114;P11216
393;cofactor;unknown;target;12460107|11052666|11228757|11508701|12217700;DB00114;P11217
394;cofactor;unknown;target;6983619|7567987|11085948|20403077;DB00114;P20711
395;cofactor;unknown;target;27314340|24739074;DB00114;Q6YP21
396;cofactor;unknown;target;23038267;DB00114;Q6ZQY3
397;cofactor;unknown;target;10592235;DB00114;Q96I15
398;cofactor;unknown;target;10592235;DB00114;Q6WRI0
399;cofactor;unknown;target;22241472;DB00114;Q8IUZ5
400;cofactor;unknown;target;15865438|11877399|17482557|17651438|16980404|7526359|9305893|3143355;DB00114;P34897
401;cofactor;unknown;target;12686158|15251194|14724775|16763894|16121195;DB00114;P22557
402;cofactor;unknown;target;241701;DB00114;Q8TD30
403;cofactor;unknown;target;15561708|16784786|11886751|11553608;DB00114;Q96EN8
404;cofactor;unknown;target;18342636;DB00114;Q96GA7
405;cofactor;unknown;target;16289454|16185077|15306409|12560076|12596860;DB00114;Q9GZT4
406;cofactor;unknown;target;17194211|11481605;DB00114;Q9HD40
407;cofactor;unknown;target;22616865|12782147|19648650|19416851;DB00114;Q9NUV7
408;cofactor;yes;target;19904199|18709879|22254022;DB00115;Q99707
409;cofactor;yes;target;16281286|16305240|16813422|17011224|19904199|22254022;DB00115;P22033
410;cofactor;unknown;target;15979034|15612980|17611986;DB00115;Q9UBK8
411;binder;unknown;target;15523652|16697227|29862147|19700356;DB00115;Q8IVH4
