interaction_id;actions;known_action;interaction_type;pubmed_ids;drug_bankID_id;uniprot_ID_id
15497;nan;unknown;target;10592235;DB07068;P23467
15498;nan;unknown;target;10592235;DB07069;Q16719
15499;nan;unknown;target;10592235;DB07070;Q03181
15500;nan;unknown;target;10592235;DB07071;P03951
15501;nan;unknown;target;10592235;DB07072;P27487
15502;nan;unknown;target;10592235;DB07073;P48736
15503;nan;unknown;target;10592235;DB07074;P03951
15504;nan;unknown;target;10592235;DB07075;O14757
15505;nan;unknown;target;10592235;DB07076;P00749
15506;nan;unknown;target;10592235;DB07077;P03951
15507;nan;unknown;target;10592235;DB07078;O14757
15508;nan;unknown;target;10592235;DB07079;P78536
15509;nan;unknown;target;10592235;DB07080;P55055
15510;nan;unknown;target;10592235;DB07080;Q15596
15511;nan;unknown;target;10592235;DB07080;P28702
15512;nan;unknown;target;10592235;DB07080;Q13133
15513;nan;unknown;target;10592235;DB07080;Q15788
15514;nan;unknown;target;10592235;DB07080;O75469
15515;nan;unknown;target;10592235;DB07081;P27487
15516;nan;unknown;target;10592235;DB07082;P55055
15517;nan;unknown;target;10592235;DB07083;P00734
15518;nan;unknown;target;10592235;DB07086;Q15596
15519;nan;unknown;target;10592235;DB07086;P03372
15520;nan;unknown;target;10592235;DB07087;P03372
15521;nan;unknown;target;10592235;DB07087;Q15596
15522;nan;unknown;target;10592235;DB07088;P07477
15523;nan;unknown;target;10592235;DB07088;P00734
15524;nan;unknown;target;10592235;DB07089;P56817
15525;nan;unknown;target;10592235;DB07091;P07477
15526;nan;unknown;target;10592235;DB07091;P00734
15527;nan;unknown;target;10592235;DB07092;P27487
15528;nan;unknown;target;10592235;DB07093;P15121
15529;nan;unknown;target;10592235;DB07095;P07477
15530;nan;unknown;target;10592235;DB07095;P00734
15531;nan;unknown;target;10592235;DB07096;P09874
15532;nan;unknown;target;10592235;DB07100;P07900
15533;nan;unknown;target;10592235;DB07101;Q02750
15534;nan;unknown;target;10592235;DB07105;P00734
15535;nan;unknown;target;10592235;DB07106;P50135
15536;nan;unknown;target;10592235;DB07107;P17612
15537;nan;unknown;target;10592235;DB07107;P61925
15538;nan;unknown;target;10592235;DB07108;Q07817
15539;nan;unknown;target;10592235;DB07110;P56817
15540;nan;unknown;target;10592235;DB07111;P37231
15541;nan;unknown;target;10592235;DB07112;Q9GZT9
15542;nan;unknown;target;10592235;DB07113;P00797
15543;nan;unknown;target;10592235;DB07115;Q8N1Q1
15544;nan;unknown;target;10592235;DB07116;P13051
15545;nan;unknown;target;10592235;DB07117;P14780
15546;nan;unknown;target;10592235;DB07119;Q15788
15547;nan;unknown;target;10592235;DB07119;Q92731
15548;nan;unknown;target;10592235;DB07120;P00734
15549;nan;unknown;target;10592235;DB07121;P78536
15550;nan;unknown;target;10592235;DB07122;P00749
15551;nan;unknown;target;10592235;DB07124;P17612
15552;nan;unknown;target;10592235;DB07125;O43293
15553;nan;unknown;target;10592235;DB07126;P20248
15554;nan;unknown;target;10592235;DB07126;P24941
15555;nan;unknown;target;10592235;DB07127;P23467
15556;nan;unknown;target;10592235;DB07128;P00734
15557;nan;unknown;target;10592235;DB07129;P00749
15558;nan;unknown;target;10592235;DB07130;P18031
15559;nan;unknown;target;10592235;DB07131;P07477
15560;nan;unknown;target;10592235;DB07131;P00734
15561;nan;unknown;target;10592235;DB07132;O15530
15562;nan;unknown;target;10592235;DB07133;P00734
15563;nan;unknown;target;10592235;DB07134;P18031
15564;nan;unknown;target;10592235;DB07135;P27487
15565;nan;unknown;target;10592235;DB07136;P15086
15566;nan;unknown;target;10592235;DB07137;P20248
15567;nan;unknown;target;10592235;DB07137;P24941
15568;nan;unknown;target;10592235|24900264;DB07138;Q16539
15569;nan;unknown;target;10592235;DB07139;P15121
15570;nan;unknown;target;10592235;DB07140;P00374
15571;nan;unknown;target;10592235;DB07141;P00374
15572;nan;unknown;target;10592235;DB07142;P00374
15573;nan;unknown;target;10592235;DB07143;P00734
15574;nan;unknown;target;10592235;DB07144;P00374
15575;nan;unknown;target;10592235;DB07145;P78536
15576;nan;unknown;target;10592235;DB07146;P06239
15577;nan;unknown;target;10592235;DB07147;P78536
15578;nan;unknown;target;10592235;DB07148;P48147
15579;nan;unknown;target;10592235;DB07149;P49841
15580;nan;unknown;target;10592235;DB07150;Q15788
15581;nan;unknown;target;10592235;DB07150;Q92731
15582;nan;unknown;target;10592235;DB07151;P11309
15583;nan;unknown;target;10592235;DB07152;P36897
15584;nan;unknown;target;10592235;DB07154;P27487
15585;nan;unknown;target;10592235;DB07156;P08069
15586;nan;unknown;target;10592235;DB07157;P15086
15587;nan;unknown;target;10592235;DB07158;O14757
15588;nan;unknown;target;10592235;DB07159;P43405
15589;nan;unknown;target;10592235;DB07160;P07858
15590;nan;unknown;target;10592235;DB07161;O60674
15591;nan;unknown;target;10592235;DB07162;O60674
15592;nan;unknown;target;10592235;DB07163;P24941
15593;nan;unknown;target;10592235;DB07164;P20248
15594;nan;unknown;target;10592235;DB07164;P24941
15595;nan;unknown;target;10592235;DB07165;P00734
15596;nan;unknown;target;10592235;DB07167;P07333
15597;nan;unknown;target;10592235;DB07168;Q13554
15598;nan;unknown;target;10592235;DB07171;P42892
15599;nan;unknown;target;10592235;DB07172;P37231
15600;nan;unknown;target;10592235;DB07173;P55263
15601;nan;unknown;target;10592235;DB07174;P00797
15602;nan;unknown;target;10592235;DB07175;P56817
15603;nan;unknown;carrier;10592235;DB07176;P02766
15604;nan;unknown;target;10592235;DB07177;Q14914
15605;nan;unknown;target;10592235;DB07177;Q8N8N7
15606;nan;unknown;target;10592235;DB07179;P24941
15607;nan;unknown;target;10592235;DB07180;P51955
15608;nan;unknown;target;10592235;DB07181;P27487
15609;nan;unknown;target;10592235;DB07182;P15086
15610;nan;unknown;target;10592235;DB07183;P35968
15611;nan;unknown;target;10592235;DB07186;O14965
15612;nan;unknown;target;10592235;DB07186;P53350
15613;nan;unknown;target;10592235;DB07187;P15121
15614;nan;unknown;target;10592235;DB07189;P78536
15615;nan;unknown;target;10592235;DB07190;P00734
15616;nan;unknown;target;10592235;DB07193;P27487
15617;nan;unknown;target;10592235;DB07194;P43405
15618;nan;unknown;target;10592235;DB07195;P03372
15619;nan;unknown;target;10592235;DB07195;Q15596
15620;nan;unknown;target;10592235;DB07197;P18031
15621;nan;unknown;target;10592235;DB07198;Q92731
15622;nan;unknown;target;10592235;DB07198;Q15788
15623;nan;unknown;carrier;10592235;DB07201;P02766
15624;nan;unknown;target;10592235;DB07202;P07333
15625;nan;unknown;target;10592235;DB07203;P20248
15626;nan;unknown;target;10592235;DB07203;P24941
15627;nan;unknown;target;10592235;DB07204;P61925
15628;nan;unknown;target;10592235;DB07204;P17612
15629;nan;unknown;target;10592235;DB07205;P54577
15630;nan;unknown;target;10592235;DB07206;P56817
15631;nan;unknown;target;10592235;DB07207;P08709
15632;nan;unknown;target;10592235;DB07207;P13726
15633;nan;unknown;target;10592235;DB07208;P37231
15634;nan;unknown;target;10592235;DB07209;P37231
15635;nan;unknown;target;10592235;DB07210;P24941
15636;nan;unknown;target;10592235;DB07211;P00734
15637;nan;unknown;target;10592235;DB07211;P00742
15638;nan;unknown;target;10592235;DB07212;P03951
15639;nan;unknown;target;10592235;DB07213;O14757
15640;nan;unknown;target;10592235;DB07215;Q15788
15641;nan;unknown;target;10592235;DB07215;Q07869
15642;nan;unknown;target;10592235;DB07216;P49354
15643;nan;unknown;target;10592235;DB07216;P49356
15644;nan;unknown;target;10592235;DB07217;P53779
15645;nan;unknown;target;10592235;DB07218;Q9UQF2
15646;nan;unknown;target;10592235;DB07218;P45983
15647;nan;unknown;target;10592235;DB07219;P07858
15648;nan;unknown;target;10592235;DB07220;P24941
15649;nan;unknown;target;10592235;DB07221;O95749
15650;nan;unknown;target;10592235;DB07223;P07858
15651;nan;unknown;target;10592235;DB07224;P07858
15652;nan;unknown;target;10592235;DB07225;P07858
15653;nan;unknown;target;10592235;DB07226;P30291
15654;nan;unknown;target;10592235;DB07227;P49354
15655;nan;unknown;target;10592235;DB07227;P49356
15656;nan;unknown;target;10592235;DB07227;P53609
15657;nan;unknown;target;10592235;DB07228;O14757
15658;nan;unknown;target;10592235;DB07229;P07477
15659;nan;unknown;target;10592235;DB07230;Q92731
15660;nan;unknown;target;10592235;DB07230;Q15788
15661;nan;unknown;target;10592235;DB07231;P07858
15662;nan;unknown;target;10592235;DB07232;P09874
15663;nan;unknown;target;10592235;DB07232;Q9UGN5
15664;nan;unknown;target;10592235;DB07233;P78536
15665;nan;unknown;target;10592235;DB07234;P49137
15666;nan;unknown;target;10592235;DB07235;P17612
15667;nan;unknown;target;10592235;DB07236;Q92731
15668;nan;unknown;target;10592235;DB07236;Q15788
15669;nan;unknown;target;10592235;DB07239;P27487
15670;nan;unknown;carrier;10592235;DB07240;P02766
15671;nan;unknown;target;10592235;DB07242;O43293
15672;nan;unknown;target;10592235;DB07242;P11309
15673;nan;unknown;target;10592235;DB07243;O14757
