drugchembl;chembl_detail
288;CHEMBL1000
289;CHEMBL17157
290;CHEMBL23
291;CHEMBL668
292;CHEMBL463
293;CHEMBL709
294;CHEMBL695
295;CHEMBL1337
296;CHEMBL70418
297;CHEMBL802
298;CHEMBL1201139
299;CHEMBL727
300;CHEMBL1201356
301;CHEMBL1201271
302;CHEMBL1371
303;CHEMBL488
304;CHEMBL416956
305;CHEMBL439
306;CHEMBL1201774
307;CHEMBL553025
308;CHEMBL42
309;CHEMBL2029132
310;CHEMBL583
311;CHEMBL1004
312;CHEMBL1389
313;CHEMBL1437
314;CHEMBL152
315;CHEMBL654
316;CHEMBL979
317;CHEMBL1378
318;CHEMBL499
319;CHEMBL1237119
320;CHEMBL1490
321;CHEMBL1189679
322;CHEMBL1200853
323;CHEMBL558
324;CHEMBL1738
325;CHEMBL1491
326;CHEMBL95
327;CHEMBL1495
328;CHEMBL585
329;CHEMBL1096885
330;CHEMBL86715
331;CHEMBL1215
332;CHEMBL508102
333;CHEMBL1751
334;CHEMBL26
335;CHEMBL1206
336;CHEMBL1428
337;CHEMBL1200500
338;CHEMBL1233
339;CHEMBL103
340;CHEMBL61006
341;CHEMBL1336
342;CHEMBL924
343;CHEMBL562
344;CHEMBL1726
345;CHEMBL1522
346;CHEMBL1201355
347;CHEMBL661
348;CHEMBL1201287
349;CHEMBL459265
350;CHEMBL831
351;CHEMBL22242
352;CHEMBL965
353;CHEMBL121
354;CHEMBL301265
355;CHEMBL1589
356;CHEMBL174
357;CHEMBL1739
358;CHEMBL615
359;CHEMBL447
360;CHEMBL1029
361;CHEMBL564
362;CHEMBL1393
363;CHEMBL796
364;CHEMBL1201117
365;CHEMBL1331216
366;CHEMBL911
367;CHEMBL880
368;CHEMBL855
369;CHEMBL1603
370;CHEMBL1237105
371;CHEMBL1201204
372;CHEMBL15891
373;CHEMBL1129
374;CHEMBL728
375;CHEMBL516
376;CHEMBL1200689
377;CHEMBL1684
378;CHEMBL1467
379;CHEMBL44354
380;CHEMBL1477
381;CHEMBL22
382;CHEMBL888
383;CHEMBL632
384;CHEMBL452231
385;CHEMBL417
386;CHEMBL130
387;CHEMBL1013
388;CHEMBL480
389;CHEMBL1201262
390;CHEMBL1108
391;CHEMBL1624
392;CHEMBL184618
393;CHEMBL607
394;CHEMBL998
395;CHEMBL617
396;CHEMBL2
397;CHEMBL11
398;CHEMBL1131
399;CHEMBL1070
400;CHEMBL1354199
401;CHEMBL450
402;CHEMBL1200354
403;CHEMBL469
404;CHEMBL1908342
405;CHEMBL826
406;CHEMBL170
407;CHEMBL302795
408;CHEMBL465
409;CHEMBL787
410;CHEMBL41
411;CHEMBL1197
412;CHEMBL7413
413;CHEMBL451
414;CHEMBL1175
415;CHEMBL71
416;CHEMBL848
417;CHEMBL81
418;CHEMBL118
419;CHEMBL1200993
420;CHEMBL844
421;CHEMBL893
422;CHEMBL947
423;CHEMBL267648
424;CHEMBL471
425;CHEMBL49
426;CHEMBL1561
427;CHEMBL3039598
428;CHEMBL1730
429;CHEMBL953
430;CHEMBL129
431;CHEMBL1346
432;CHEMBL656
433;CHEMBL711
434;CHEMBL806
435;CHEMBL1020
436;CHEMBL30
437;CHEMBL54
438;CHEMBL163
439;CHEMBL1254682
440;CHEMBL1201354
441;CHEMBL570
442;CHEMBL559
443;CHEMBL3545057
444;CHEMBL262777
445;CHEMBL1046
446;CHEMBL52440
447;CHEMBL11359
448;CHEMBL1578
449;CHEMBL1483
450;CHEMBL1519
451;CHEMBL499808
452;CHEMBL839
453;CHEMBL1200368
454;CHEMBL705
455;CHEMBL878
456;CHEMBL414804
457;CHEMBL1086
458;CHEMBL250270
459;CHEMBL666
460;CHEMBL553
461;CHEMBL88
462;CHEMBL861
463;CHEMBL122
464;CHEMBL927
465;CHEMBL821
466;CHEMBL8
467;CHEMBL1655
468;CHEMBL445
469;CHEMBL499458
470;CHEMBL838
471;CHEMBL1113
472;CHEMBL185
473;CHEMBL1115
474;CHEMBL328250
475;CHEMBL1766
476;CHEMBL1238
477;CHEMBL603
478;CHEMBL1518
479;CHEMBL734
480;CHEMBL1580
481;CHEMBL416
482;CHEMBL527
483;CHEMBL741
484;CHEMBL896
485;CHEMBL222813
486;CHEMBL957
487;CHEMBL1754
488;CHEMBL1201039
489;CHEMBL34259
490;CHEMBL108
491;CHEMBL1201248
492;CHEMBL1727
493;CHEMBL43064
494;CHEMBL1201202
495;CHEMBL159
496;CHEMBL27
497;CHEMBL517712
498;CHEMBL1297
499;CHEMBL87493
500;CHEMBL134
501;CHEMBL1191
502;CHEMBL1349
503;CHEMBL1214
504;CHEMBL781
505;CHEMBL865
506;CHEMBL638
507;CHEMBL1149
508;CHEMBL578
509;CHEMBL3183075
510;CHEMBL139
511;CHEMBL283754
512;CHEMBL1473
513;CHEMBL157138
514;CHEMBL707
515;CHEMBL989
516;CHEMBL1412
517;CHEMBL696
518;CHEMBL945
519;CHEMBL1517
520;CHEMBL1201360
521;CHEMBL429
522;CHEMBL441
523;CHEMBL1388
524;CHEMBL126
525;CHEMBL1200633
526;CHEMBL717
527;CHEMBL560739
528;CHEMBL15770
529;CHEMBL61593
530;CHEMBL1443
531;CHEMBL76
532;CHEMBL1201319
533;CHEMBL33986
534;CHEMBL645
535;CHEMBL682
536;CHEMBL1103
537;CHEMBL444633
538;CHEMBL35084
539;CHEMBL1100
540;CHEMBL1591
541;CHEMBL941
542;CHEMBL1451
543;CHEMBL1200436
544;CHEMBL1484
545;CHEMBL726
546;CHEMBL386630
547;CHEMBL223228
548;CHEMBL1200558
549;CHEMBL573
550;CHEMBL1213252
551;CHEMBL420
552;CHEMBL870
553;CHEMBL1750
554;CHEMBL778
555;CHEMBL635
556;CHEMBL565
557;CHEMBL296419
558;CHEMBL477
559;CHEMBL1064
560;CHEMBL225072
561;CHEMBL685
562;CHEMBL1981292
563;CHEMBL1201217
564;CHEMBL450895
565;CHEMBL1213351
566;CHEMBL1670
567;CHEMBL991
568;CHEMBL1679
569;CHEMBL1752
570;CHEMBL100116
571;CHEMBL1051
572;CHEMBL1405
573;CHEMBL621
574;CHEMBL267936
575;CHEMBL1201293
576;CHEMBL6966
577;CHEMBL1201392
578;CHEMBL1274
579;CHEMBL1201309
580;CHEMBL679
581;CHEMBL128
582;CHEMBL9967
583;CHEMBL1541
584;CHEMBL498
585;CHEMBL1471
586;CHEMBL659
587;CHEMBL83
588;CHEMBL1025
589;CHEMBL191
590;CHEMBL479
591;CHEMBL1075
592;CHEMBL1464
593;CHEMBL655
594;CHEMBL428
595;CHEMBL4073796
596;CHEMBL1201388
597;CHEMBL1456
598;CHEMBL1200971
599;CHEMBL968
600;CHEMBL1165
601;CHEMBL597
602;CHEMBL1057
603;CHEMBL178
604;CHEMBL35
605;CHEMBL442
606;CHEMBL1079
607;CHEMBL572
608;CHEMBL1372950
609;CHEMBL1095097
610;CHEMBL116
611;CHEMBL1201472
612;CHEMBL19
613;CHEMBL19019
614;CHEMBL593
615;CHEMBL836
616;CHEMBL658
617;CHEMBL141
618;CHEMBL997
619;CHEMBL684
620;CHEMBL563
621;CHEMBL819
622;CHEMBL53
623;CHEMBL490
624;CHEMBL746
625;CHEMBL1162
626;CHEMBL922
627;CHEMBL946
628;CHEMBL12318
629;CHEMBL569
630;CHEMBL1237
631;CHEMBL524
632;CHEMBL1282
633;CHEMBL1200851
634;CHEMBL644
635;CHEMBL730
636;CHEMBL1201244
637;CHEMBL625
638;CHEMBL783
639;CHEMBL1200527
640;CHEMBL1420
641;CHEMBL85
642;CHEMBL626
643;CHEMBL1201320
644;CHEMBL1623
645;CHEMBL55
646;CHEMBL744
647;CHEMBL389621
648;CHEMBL1200571
649;CHEMBL93
650;CHEMBL1373
651;CHEMBL556
652;CHEMBL569713
653;CHEMBL864
654;CHEMBL622
655;CHEMBL1194
656;CHEMBL1106
657;CHEMBL313833
658;CHEMBL1256
659;CHEMBL1095
660;CHEMBL38
661;CHEMBL496
662;CHEMBL2368925
663;CHEMBL1771
664;CHEMBL1440
665;CHEMBL1200731
666;CHEMBL481
667;CHEMBL1515
668;CHEMBL1201404
669;CHEMBL1200862
670;CHEMBL777
671;CHEMBL1201250
672;CHEMBL1189432
673;CHEMBL1201263
674;CHEMBL495
675;CHEMBL1200468
676;CHEMBL44657
677;CHEMBL1763
678;CHEMBL916
679;CHEMBL1068
680;CHEMBL1201210
681;CHEMBL1214185
682;CHEMBL5
683;CHEMBL1089
684;CHEMBL1180725
685;CHEMBL135
686;CHEMBL686
687;CHEMBL279785
688;CHEMBL184
689;CHEMBL154
690;CHEMBL1200431
691;CHEMBL1581
692;CHEMBL1241
693;CHEMBL856
694;CHEMBL421
695;CHEMBL1014
696;CHEMBL770
697;CHEMBL3039597
698;CHEMBL1657
699;CHEMBL588
700;CHEMBL634
701;CHEMBL1123
702;CHEMBL278819
703;CHEMBL628
704;CHEMBL1196
705;CHEMBL406
706;CHEMBL1200604
707;CHEMBL1101
708;CHEMBL1643
709;CHEMBL101
710;CHEMBL596
711;CHEMBL599
712;CHEMBL23393
713;CHEMBL776
714;CHEMBL291157
715;CHEMBL526
716;CHEMBL20
717;CHEMBL779
718;CHEMBL1316
719;CHEMBL964
720;CHEMBL1200624
721;CHEMBL279898
722;CHEMBL470670
723;CHEMBL1208
724;CHEMBL12
725;CHEMBL1201208
726;CHEMBL422
727;CHEMBL680
728;CHEMBL1276308
729;CHEMBL811
730;CHEMBL841
731;CHEMBL287631
732;CHEMBL817
733;CHEMBL926
734;CHEMBL568
735;CHEMBL502
736;CHEMBL895
737;CHEMBL1292
738;CHEMBL1201012
739;CHEMBL602
740;CHEMBL1454
741;CHEMBL45029
742;CHEMBL567
743;CHEMBL476
744;CHEMBL1590
745;CHEMBL810
746;CHEMBL592
747;CHEMBL601
748;CHEMBL388751
749;CHEMBL822
750;CHEMBL1582
751;CHEMBL1430
752;CHEMBL131
753;CHEMBL898
754;CHEMBL1520
755;CHEMBL1790041
756;CHEMBL269732
757;CHEMBL3545985
758;CHEMBL266195
759;CHEMBL489553
760;CHEMBL1374379
761;CHEMBL218490
762;CHEMBL956
763;CHEMBL1760
764;CHEMBL1755
765;CHEMBL1200865
766;CHEMBL54661
767;CHEMBL813
768;CHEMBL413
769;CHEMBL790
770;CHEMBL885
771;CHEMBL842
772;CHEMBL1592
773;CHEMBL2355051
774;CHEMBL6622
775;CHEMBL923
776;CHEMBL289556
777;CHEMBL1072
778;CHEMBL427
779;CHEMBL1290003
780;CHEMBL1018
781;CHEMBL700
782;CHEMBL1200
783;CHEMBL1201544
784;CHEMBL1571
785;CHEMBL1201779
786;CHEMBL1200617
787;CHEMBL646
788;CHEMBL545
789;CHEMBL1005
790;CHEMBL1460
791;CHEMBL1201295
792;CHEMBL1200959
793;CHEMBL456
794;CHEMBL46
795;CHEMBL1200963
796;CHEMBL1027
797;CHEMBL370805
798;CHEMBL1294
799;CHEMBL750
800;CHEMBL1200622
801;CHEMBL1220
802;CHEMBL1272
803;CHEMBL1201347
804;CHEMBL170988
805;CHEMBL660
806;CHEMBL137
807;CHEMBL548
808;CHEMBL1505
809;CHEMBL534
810;CHEMBL560511
811;CHEMBL2051955
812;CHEMBL669
813;CHEMBL753
814;CHEMBL464
815;CHEMBL902
816;CHEMBL1489
817;CHEMBL606
818;CHEMBL249837
819;CHEMBL222559
820;CHEMBL1088
821;CHEMBL21731
822;CHEMBL762
823;CHEMBL424
824;CHEMBL1194666
825;CHEMBL1263
826;CHEMBL509
827;CHEMBL1201264
828;CHEMBL1201349
829;CHEMBL1201227
830;CHEMBL853
831;CHEMBL1201229
832;CHEMBL25
833;CHEMBL1465
834;CHEMBL1358
835;CHEMBL1094
836;CHEMBL914
837;CHEMBL64
838;CHEMBL1278
839;CHEMBL905
840;CHEMBL1237072
841;CHEMBL1457
842;CHEMBL1200934
843;CHEMBL1351
844;CHEMBL650
845;CHEMBL500
846;CHEMBL1087
847;CHEMBL1521
848;CHEMBL1077
849;CHEMBL647
850;CHEMBL1017
851;CHEMBL1172
852;CHEMBL459
853;CHEMBL1110
854;CHEMBL1554
855;CHEMBL639
856;CHEMBL1138
857;CHEMBL858
858;CHEMBL932
859;CHEMBL1136
860;CHEMBL691
861;CHEMBL561
862;CHEMBL1201338
863;CHEMBL1218
864;CHEMBL94
865;CHEMBL547
866;CHEMBL1256786
867;CHEMBL1200412
868;CHEMBL1200406
869;CHEMBL1201335
870;CHEMBL803
871;CHEMBL59
872;CHEMBL636
873;CHEMBL1200374
874;CHEMBL1071
875;CHEMBL1542
876;CHEMBL1366
877;CHEMBL940
878;CHEMBL53463
879;CHEMBL1279
880;CHEMBL435
881;CHEMBL1200356
882;CHEMBL714
883;CHEMBL1201193
884;CHEMBL428880
885;CHEMBL182
886;CHEMBL467
887;CHEMBL1444
888;CHEMBL1200438
889;CHEMBL820
890;CHEMBL571
891;CHEMBL1104
892;CHEMBL934
893;CHEMBL1201284
894;CHEMBL1159650
895;CHEMBL1201346
896;CHEMBL443
897;CHEMBL472
898;CHEMBL1434
899;CHEMBL862
900;CHEMBL1482
901;CHEMBL1311
902;CHEMBL1054
903;CHEMBL1550
904;CHEMBL1480
905;CHEMBL866
906;CHEMBL1096
907;CHEMBL157101
908;CHEMBL1341
909;CHEMBL1513
910;CHEMBL84
911;CHEMBL1576
912;CHEMBL897
913;CHEMBL1425
914;CHEMBL45627
915;CHEMBL640
916;CHEMBL1382
917;CHEMBL972
918;CHEMBL1201328
919;CHEMBL672
920;CHEMBL468
921;CHEMBL852
922;CHEMBL807
923;CHEMBL31
924;CHEMBL374478
925;CHEMBL1201134
926;CHEMBL1501
927;CHEMBL1380
928;CHEMBL521
929;CHEMBL36506
930;CHEMBL29
931;CHEMBL475534
932;CHEMBL245416
933;CHEMBL1762
934;CHEMBL1201341
935;CHEMBL976
936;CHEMBL9
937;CHEMBL1082
938;CHEMBL1231
939;CHEMBL1085
940;CHEMBL434
941;CHEMBL45
942;CHEMBL1073
943;CHEMBL452
944;CHEMBL643
945;CHEMBL2356023
946;CHEMBL73451
947;CHEMBL1163
948;CHEMBL1568
949;CHEMBL75880
950;CHEMBL657
951;CHEMBL1487
952;CHEMBL871
953;CHEMBL1614
954;CHEMBL76370
955;CHEMBL89598
956;CHEMBL1201294
957;CHEMBL372795
958;CHEMBL175247
959;CHEMBL594
960;CHEMBL550
961;CHEMBL278172
962;CHEMBL506
963;CHEMBL494
964;CHEMBL1200515
965;CHEMBL1271
966;CHEMBL990
967;CHEMBL222863
968;CHEMBL504
969;CHEMBL399121
970;CHEMBL2220442
971;CHEMBL847
972;CHEMBL960
973;CHEMBL1496
974;CHEMBL1463
975;CHEMBL1423
976;CHEMBL1773
977;CHEMBL1201251
978;CHEMBL7568
979;CHEMBL809
980;CHEMBL1419
981;CHEMBL1615438
982;CHEMBL1200790
983;CHEMBL1200907
984;CHEMBL1909300
985;CHEMBL91
986;CHEMBL1436
987;CHEMBL19224
988;CHEMBL505
989;CHEMBL193
990;CHEMBL1201329
991;CHEMBL1450
992;CHEMBL633
993;CHEMBL181
994;CHEMBL427216
995;CHEMBL918
996;CHEMBL1652
997;CHEMBL55400
998;CHEMBL782
999;CHEMBL712
1000;CHEMBL1200969
1001;CHEMBL808
1002;CHEMBL409
1003;CHEMBL1219
1004;CHEMBL1200386
1005;CHEMBL1377
1006;CHEMBL595
1007;CHEMBL1350
1008;CHEMBL1200592
1009;CHEMBL1237123
1010;CHEMBL723
1011;CHEMBL33
1012;CHEMBL832
1013;CHEMBL1644
1014;CHEMBL457547
1015;CHEMBL1628227
1016;CHEMBL1006
1017;CHEMBL17
1018;CHEMBL1492
1019;CHEMBL891
1020;CHEMBL1493
1021;CHEMBL623
1022;CHEMBL72
1023;CHEMBL1200647
1024;CHEMBL440
1025;CHEMBL430
1026;CHEMBL894
1027;CHEMBL119
1028;CHEMBL1199080
1029;CHEMBL931
1030;CHEMBL1200896
1031;CHEMBL1179047
1032;CHEMBL611
1033;CHEMBL1200668
1034;CHEMBL4
1035;CHEMBL799
1036;CHEMBL22587
1037;CHEMBL1321
1038;CHEMBL1200978
1039;CHEMBL765
1040;CHEMBL86304
1041;CHEMBL900
1042;CHEMBL40
1043;CHEMBL1508
1044;CHEMBL648
1045;CHEMBL1117
1046;CHEMBL1200714
1047;CHEMBL61
1048;CHEMBL1668
1049;CHEMBL1024
1050;CHEMBL631
1051;CHEMBL80
1052;CHEMBL219916
1053;CHEMBL1445
1054;CHEMBL531
1055;CHEMBL1413
1056;CHEMBL1200733
1057;CHEMBL1753
1058;CHEMBL248702
1059;CHEMBL963
1060;CHEMBL642
1061;CHEMBL220491
1062;CHEMBL652
1063;CHEMBL1575
1064;CHEMBL1560
1065;CHEMBL135400
